"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-15",,,"67",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-16",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-18",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-20",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-21",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-22",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-23",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-24",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-26",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-28",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-29",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-30",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-05-31",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-01",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-02",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-03",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-04",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-05",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-06",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-07",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-08",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-09",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-10",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-11",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-12",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-13",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-14",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-15",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-16",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-17",,,"62",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-18",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-19",,,"61",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-20",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-21",,,"64",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-22",,,"65",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-23",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-24",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-25",,,"60",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-26",,,"63",,
"KEM00063741","NAIROBI DAGORETTI, KE","1960-06-27",,,"62",,
